year,speed
1961,10.17508904
1962,14.38139736
1963,14.81142519
1964,12.20115323
1965,14.5168181
1966,14.65354029
1967,11.21984127
1968,9.830964989
1969,9.594920416
1970,10.80970262
1971,12.54844198
1972,12.17188514
1973,14.20538284
1974,15.11395329
1975,13.10409571
1976,12.80671355
1977,12.91894443
1978,13.66473916
1979,11.99641496
1980,12.7873424
1981,15.35762885
1982,13.53355244
1983,15.33293529
1984,14.68632988
1985,17.72214175
1986,15.94051834
1987,16.41081014
1988,16.39859648
1989,19.30559734
1990,14.00568913
1991,11.03545122
1992,12.00189077
1993,13.42840261
1994,12.24088805
1995,10.27665091
1996,11.71946317
1997,12.24374473
1998,9.655111442
1999,11.50071439
2000,10.12597799
2001,11.95587895
2002,11.19124094
2003,10.66570747
2004,10.77145069
2005,10.15962933
2006,12.90518031
2007,11.50694712
2008,7.525864897
2009,10.38840749
2010,9.739661528
2011,9.469542121
2012,9.497291682
2013,12.868433
2014,10.74427309
2015,12.45676415
