# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1602665352
# chain_id=1
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=norm.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-30.3597,1,0.25,1,1,0,38.5871,0.97476
-30.3597,0,14.3855,0,1,1,31.2575,0.97476
-30.3597,0,2.43117,0,1,1,30.3907,0.97476
-28.7557,1,0.239791,2,3,0,29.9276,0.757808
-28.5797,0.821313,0.324332,2,3,0,29.1854,0.271975
-28.0889,1,0.297726,1,1,0,28.363,0.458241
-29.5249,0.166498,0.499563,1,1,0,30.0908,0.877597
-28.102,0.995604,0.0661656,2,5,0,30.0562,0.549636
-28.7961,0.977547,0.116564,3,7,0,28.8879,0.228135
-28.5261,1,0.199854,1,1,0,28.7751,0.284211
-28.231,1,0.374133,1,1,0,28.4776,0.371517
-28.231,6.32925e-17,0.706326,1,1,0,31.2257,0.371517
-28.2397,0.999858,0.0573233,1,1,0,28.2398,0.368111
-28.4254,0.985565,0.109742,2,3,0,28.5467,0.309373
-28.2368,0.933217,0.200639,1,3,0,29.0997,0.624327
-28.1879,1,0.310726,2,3,0,28.2674,0.603488
-28.1879,0.108569,0.588951,1,1,0,28.7725,0.603488
-28.2058,0.993728,0.072789,3,11,0,28.6157,0.382029
-28.0828,0.994323,0.136025,1,3,0,28.3044,0.467084
-28.2227,0.927252,0.25252,2,3,0,28.4421,0.618709
-28.7433,0.686092,0.380363,1,1,0,28.9385,0.755427
-28.4273,1,0.279132,2,3,0,28.6887,0.308869
-28.4273,0.323328,0.5171,1,1,0,29.2437,0.308869
-31.5707,0.778108,0.132683,2,5,0,33.2383,1.08797
-30.7991,1,0.129253,1,1,0,31.5323,1.01868
-30.1068,1,0.237541,1,1,0,31.0463,0.947541
-29.5321,1,0.432152,1,1,0,29.5702,0.115029
-29.5321,2.97179e-87,0.778371,1,1,0,29.8908,0.115029
-28.1355,1,0.0856931,3,7,0,29.5251,0.418413
-28.0752,0.987474,0.154942,3,7,0,28.3486,0.507838
-28.6081,0.687304,0.268055,2,3,0,29.5386,0.727838
-28.1461,1,0.203368,2,7,0,28.5139,0.411933
-28.3274,0.889145,0.359842,1,1,0,28.3946,0.337634
-28.8365,0.571007,0.469103,1,1,0,29.384,0.220732
-28.1825,1,0.262031,2,3,0,28.6141,0.392653
-28.1825,8.72661e-05,0.456358,1,1,0,29.8757,0.392653
-28.1787,1,0.058022,1,1,0,28.1829,0.394478
-28.0781,0.998044,0.101347,2,5,0,28.2766,0.516934
-28.129,0.994872,0.174606,2,3,0,28.1333,0.570911
-28.1628,0.993521,0.295903,2,3,0,28.1903,0.402563
-28.1628,0.0175043,0.495745,1,1,0,28.5634,0.402563
-28.5105,0.993159,0.0710589,3,7,0,28.6071,0.287918
-28.0821,0.974744,0.119259,2,7,0,29.2787,0.468368
-28.1343,0.983787,0.189776,1,3,0,28.2189,0.574387
-28.0993,1,0.306677,1,1,0,28.1289,0.547017
-28.0993,0.000211041,0.512018,1,1,0,29.0967,0.547017
-28.0764,0.998587,0.0753301,3,11,0,28.1878,0.512349
-28.2932,0.988407,0.12564,3,7,0,28.3972,0.348769
-28.0802,1,0.203055,2,3,0,28.2933,0.471868
-28.0802,0.110559,0.335091,1,1,0,29.8108,0.471868
-28.0935,0.999796,0.0674962,4,15,0,28.1068,0.452658
-28.1956,0.983037,0.111375,3,7,0,28.6859,0.386572
-28.9308,0.933717,0.175571,3,7,0,29.0589,0.204151
-28.9308,0.863429,0.245471,1,1,0,29.4506,0.204151
-29.5774,0.760734,0.290759,1,1,0,29.8982,0.109144
-28.6797,1,0.27184,2,3,0,29.4424,0.742843
-28.1652,1,0.437571,1,1,0,28.2309,0.401304
-28.1652,3.16882e-13,0.700139,1,1,0,28.6859,0.401304
-28.0789,0.994398,0.118576,1,3,0,28.2869,0.474662
-28.074,0.999121,0.187752,2,3,0,28.0874,0.498411
-28.1317,0.982654,0.298725,1,3,0,28.1323,0.420835
-28.135,0.996592,0.45582,1,1,0,28.1968,0.418704
-28.135,6.33869e-17,0.713456,1,1,0,28.9181,0.418704
-28.1497,0.997802,0.127192,3,7,0,28.2295,0.409807
-28.1092,1,0.200001,1,1,0,28.1423,0.437452
-28.1092,0.720246,0.314327,1,1,0,28.4611,0.437452
-28.4667,0.877576,0.270234,1,1,0,28.467,0.298671
-28.4295,1,0.325128,2,3,0,28.4716,0.685287
-28.4295,0.0481979,0.505667,1,1,0,28.5314,0.685287
-28.3808,0.853936,0.105749,2,5,0,33.672,0.321686
-28.3445,0.994483,0.121306,2,5,0,28.5903,0.661225
-28.1115,0.885773,0.186121,2,3,0,29.4568,0.557972
-28.4628,0.930165,0.226984,1,3,0,28.4742,0.693906
-28.3772,1,0.302654,2,3,0,28.504,0.322711
-28.3772,0.547915,0.46418,1,1,0,28.3969,0.322711
-29.6747,0.513787,0.282106,2,3,0,31.0794,0.896778
-28.9634,1,0.160786,1,1,0,29.5828,0.794937
-29.0323,0.979393,0.245727,1,1,0,29.2877,0.806276
-28.7366,1,0.358777,1,1,0,29.3081,0.754139
-28.7366,4.44506e-05,0.543775,1,1,0,28.9536,0.754139
-28.5077,0.99899,0.112473,2,3,0,28.7909,0.704977
-28.4003,1,0.170372,2,3,0,28.5107,0.677378
-28.1812,1,0.25754,1,1,0,28.3414,0.600287
-28.2568,0.981565,0.38775,1,3,0,28.261,0.361613
-28.2186,1,0.560978,1,1,0,28.4645,0.376582
-28.2186,1.07814e-41,0.838219,1,1,0,28.8175,0.376582
-28.3231,0.979339,0.180749,2,3,0,28.477,0.339003
-29.63,0.642957,0.259916,1,1,0,29.6367,0.102423
-28.6695,1,0.195634,1,1,0,29.4461,0.252832
-30.9574,0.631356,0.291515,2,3,0,31.1148,-0.0400506
-29.6446,1,0.215047,1,1,0,30.7793,0.100579
-29.7744,0.889271,0.319134,2,3,0,30.6204,0.909045
-28.216,1,0.38321,1,1,0,28.9622,0.615904
-28.216,0.000590842,0.565243,1,1,0,28.506,0.615904
-28.2254,0.999217,0.128912,1,1,0,28.2336,0.619795
-28.415,0.966301,0.190102,1,1,0,28.4154,0.681404
-28.2008,1,0.2629,1,1,0,28.3633,0.609355
-28.2341,0.990109,0.385768,1,3,0,28.2428,0.370291
-28.1266,1,0.554081,1,1,0,28.2514,0.424258
-28.1445,0.314459,0.807868,1,3,1,28.262,0.580724
-28.1445,0.000623036,2.70093,1,1,0,29.0906,0.580724
-28.1445,1.24141e-215,6.314,1,1,0,28.184,0.580724
-28.111,0.999528,0.622765,2,3,0,28.1562,0.557577
-28.5526,0.96499,0.647921,2,3,0,28.5557,0.715493
-28.6093,0.990377,0.792958,1,1,0,28.6737,0.728103
-28.0836,0.991666,1.19978,1,3,0,28.4474,0.46584
-28.534,0.618694,1.98373,1,1,0,28.6393,0.711218
-28.7474,0.934754,1.08039,1,1,0,28.8596,0.756229
-28.2653,1,1.59958,1,1,0,28.6185,0.635073
-28.0741,1,2.9673,1,1,0,28.091,0.493733
-28.0741,4.57181e-46,5.56804,1,1,0,28.4128,0.493733
-28.0741,0.99999,0.445696,2,5,0,28.0745,0.499982
-28.1305,0.986733,0.847079,1,3,0,28.1616,0.42162
-29.243,0.487247,1.54465,1,1,0,29.3618,0.154966
-29.6018,0.966539,0.591752,1,1,0,29.6185,0.106013
-29.9707,0.902072,1.01555,1,1,0,30.324,0.0613825
-28.0764,1,1.42223,1,1,0,28.9478,0.481273
-28.1125,0.932327,2.67739,1,1,0,28.1612,0.434759
-28.1125,0.238977,4.07058,1,1,0,28.3731,0.434759
-28.1413,0.99545,0.76526,1,1,0,28.1418,0.414805
-28.7443,0.722286,1.41125,1,1,0,28.793,0.237951
-30.9385,0.455921,1.14957,1,1,0,31.0183,-0.038287
-31.3468,0.979705,0.430591,1,1,0,31.3679,-0.0751484
-31.3468,0.763972,0.751974,1,1,0,32.94,-0.0751484
-29.898,0.9955,0.698859,3,7,0,31.4192,0.0698174
-29.8015,1,1.26046,1,1,0,30.5932,0.0812674
-29.8015,0.000431056,2.27995,1,1,0,29.8177,0.0812674
-29.2905,0.99576,0.246443,1,3,0,30.2227,0.148098
-28.091,0.991599,0.442307,2,7,0,29.6411,0.455573
-28.223,0.95723,0.777159,1,3,0,28.4556,0.618833
-29.1308,0.688835,1.23127,1,1,0,29.1557,0.821782
-28.2816,0.999183,0.933928,1,3,0,28.9381,0.640831
-28.2816,0.83715,1.64172,1,3,0,28.387,0.640831
-28.2816,0.000161114,1.8547,1,1,0,30.2401,0.640831
-28.2868,0.999927,0.227481,1,1,0,28.2878,0.642633
-28.0775,0.99558,0.399699,3,7,0,28.5529,0.478145
-28.0766,0.999799,0.688177,2,5,0,28.0803,0.512948
-28.0766,0.828861,1.18767,1,3,0,28.5107,0.512948
-28.8512,0.789129,1.31015,2,3,0,28.8821,0.775491
-28.8512,0.278185,1.30401,1,1,0,30.6411,0.775491
-28.4166,0.991552,0.356336,1,3,0,29.2397,0.681833
-28.5602,0.995436,0.595272,2,3,0,28.5615,0.717235
-31.1807,0.763849,0.996423,2,3,0,31.2869,-0.0604465
-30.1108,1,0.933238,1,1,0,31.1892,0.0455881
-28.8792,1,1.56266,1,3,0,29.3682,0.780484
-28.8792,0.0258884,2.59726,1,3,1,28.9895,0.780484
-29.0308,0.997764,0.40485,2,3,0,29.031,0.806036
-28.2973,1,0.670694,2,3,0,29.0401,0.646172
-28.1097,1,1.10921,2,3,0,28.2355,0.55649
-28.074,1,1.82178,1,1,0,28.084,0.496963
-28.074,0.174565,1.486,1,1,0,28.8866,0.496963
-28.074,1.64502e-13,4.76606,1,1,0,28.2045,0.496963
-28.2374,0.968675,0.516279,1,3,0,28.5492,0.624587
-28.802,0.963849,0.521938,2,3,0,28.815,0.766532
-29.4308,0.914478,0.654471,1,1,0,29.4315,0.865048
-28.079,1,0.803765,2,3,0,29.3433,0.519218
-28.079,0.805849,1.37056,1,1,0,28.2117,0.519218
-28.079,0.303676,1.34164,1,1,0,28.8996,0.519218
-28.1657,0.99434,0.275514,2,7,0,28.4375,0.401034
-30.0569,0.90929,0.499226,2,7,0,30.0594,0.941974
-28.1685,0.99615,0.702016,3,7,0,29.9118,0.593957
-28.1685,0.545758,1.30897,1,3,0,29.0574,0.593957
-28.6174,0.91917,0.592087,2,3,0,29.1462,0.72983
-28.8226,0.837649,0.872645,1,3,0,30.1649,0.223259
-29.5195,0.794683,0.996736,1,1,0,29.677,0.116686
-28.0743,1,0.997297,1,3,0,29.1587,0.491492
-28.0743,0.00257408,1.88022,1,1,0,29.1354,0.491492
-28.6396,0.996037,0.167166,3,15,0,28.8882,0.259038
-28.1939,0.999689,0.313526,3,7,0,28.6902,0.387321
-28.1668,0.950122,0.58942,1,3,0,28.8979,0.593115
-28.383,0.937703,0.946951,1,1,0,28.3883,0.672515
-28.383,0.329176,1.4559,1,1,0,28.8512,0.672515
-28.2174,0.979303,0.373453,2,5,0,29.2689,0.377067
-28.3119,0.986879,0.648909,1,1,0,28.3133,0.342585
-28.1468,1,1.14203,1,1,0,28.2646,0.411472
-28.1468,0.0417685,2.0671,1,1,0,28.332,0.411472
-28.9725,0.975035,0.245379,2,7,0,30.3599,0.796468
-29.0387,0.993261,0.415417,2,3,0,29.2504,0.807303
-29.0387,0.984689,0.733433,1,1,0,29.2558,0.807303
-30.0184,0.600334,1.25267,1,1,0,30.5379,0.937633
-28.7322,1,0.740137,3,7,0,29.788,0.753267
-28.3506,0.79335,1.30612,2,3,0,28.9315,0.330533
-28.3506,0.505966,1.30874,1,1,0,29.0784,0.330533
-28.1094,0.948012,0.608443,1,3,0,29.0168,0.556282
-28.1884,0.97787,0.924138,1,1,0,28.1899,0.603701
-28.1884,0.877385,1.50812,1,3,0,28.2547,0.603701
-28.1884,0.0232844,1.87898,1,1,0,28.5879,0.603701
-28.2666,0.999209,0.255726,3,7,0,28.2726,0.635522
-28.5395,0.987244,0.440106,2,3,0,28.5487,0.712491
-28.5662,0.995311,0.728547,1,1,0,28.6399,0.718586
-28.5261,1,1.22148,1,1,0,28.77,0.709348
-28.4954,1,2.05614,1,1,0,29.1019,0.70202
-28.4954,2.66445e-101,3.43449,1,1,0,29.1843,0.70202
-28.074,0.954859,0.479455,1,3,0,29.4515,0.497078
-28.0933,0.993298,0.718903,2,3,0,28.13,0.452888
-28.2009,0.618345,1.17699,2,3,0,29.1516,0.609387
-28.2348,0.689902,0.771593,2,3,0,31.3684,0.623546
-28.2171,1,0.604314,2,3,0,28.2441,0.616391
-28.0746,0.986601,0.996063,2,3,0,28.2846,0.488877
-28.0746,0.0397717,1.57951,1,1,0,29.2702,0.488877
-28.1388,0.996603,0.267194,2,7,0,28.2959,0.577275
-28.1529,0.999705,0.434787,2,3,0,28.1532,0.5856
-28.0801,0.991641,0.708014,1,3,0,28.2468,0.472093
-28.2274,0.940083,1.12442,1,1,0,28.2275,0.372988
-28.0765,1,1.57685,1,1,0,28.1156,0.512493
-28.0765,0.000183308,2.5243,1,1,0,28.6373,0.512493
-28.4278,0.953394,0.416155,2,5,0,29.4164,0.684839
-28.4574,0.987664,0.601132,2,3,0,28.6815,0.692533
-28.4567,0.820832,0.93331,2,3,0,29.7152,0.692356
-28.3262,0.951618,0.994079,2,3,0,28.8035,0.338027
-28.0749,1,1.41305,1,1,0,28.1664,0.505945
-28.0749,5.07186e-10,2.22477,1,1,0,30.1309,0.505945
-28.1979,0.994641,0.391004,2,5,0,28.2514,0.608053
-28.0886,0.979628,0.609717,1,3,0,28.4859,0.458643
-28.0776,1,0.915647,2,3,0,28.0856,0.47789
-28.5381,0.731599,1.42992,1,1,0,28.572,0.281416
-28.4865,1,1.25168,2,3,0,28.6643,0.293751
-28.4865,3.90374e-11,1.94139,1,1,0,30.8781,0.293751
-28.165,0.995812,0.361688,2,5,0,28.7347,0.592146
-28.2689,0.926737,0.557086,1,3,0,29.3009,0.357234
-28.319,0.990944,0.739107,1,1,0,28.3409,0.340295
-28.3169,1,1.11729,1,1,0,28.4186,0.340984
-28.5425,0.802702,1.71333,1,1,0,28.5487,0.713168
-28.5425,7.83144e-05,1.7424,1,1,0,30.0242,0.713168
-28.765,0.988433,0.342304,2,3,0,28.9227,0.759583
-29.2891,0.902828,0.512314,2,3,0,30.409,0.845285
-28.079,0.975684,0.641913,3,7,0,29.733,0.47455
-28.585,0.871361,0.929453,1,3,0,28.7078,0.722782
-28.585,0.704316,1.08745,1,1,0,29.2624,0.722782
-28.7862,0.94622,0.909904,1,1,0,28.8881,0.763584
-30.0588,0.671796,1.23346,2,3,0,30.4231,0.942181
-28.1617,1,0.968744,1,3,0,29.5122,0.590425
-28.1617,0.00144768,1.45501,1,1,0,31.2466,0.590425
-28.4388,0.971683,0.307733,2,7,0,29.7229,0.305831
-28.3621,0.973763,0.438004,2,7,0,29.371,0.666478
-29.2986,0.914358,0.623842,3,7,0,29.8773,0.146938
